City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
129,Shiyan,32.65,110.78,66.31,39,2,8.93,clear sky,CN,2020-10-23 03:56:46
130,Jamestown,42.1,-79.24,60.8,93,1,4.7,clear sky,US,2020-10-23 03:56:46
131,Port-Gentil,-0.72,8.78,78.58,85,100,11.72,light rain,GA,2020-10-23 03:56:46
132,Bredasdorp,-34.53,20.04,64.4,88,97,4.7,overcast clouds,ZA,2020-10-23 03:56:46
133,Soyo,-6.13,12.37,76.84,85,100,7.49,overcast clouds,AO,2020-10-23 03:52:03
134,Jutai,-5.18,-68.9,72.19,96,76,2.68,broken clouds,BR,2020-10-23 03:56:47
135,Emerald,-23.53,148.17,87.8,40,73,8.05,moderate rain,AU,2020-10-23 03:52:37
136,San Cristobal,7.77,-72.22,66.22,90,98,2.28,light rain,VE,2020-10-23 03:54:10
137,Zychlin,52.24,19.63,53.6,76,0,4.7,clear sky,PL,2020-10-23 03:56:47
138,Sao Joao Da Barra,-21.64,-41.05,69.1,77,3,7.45,clear sky,BR,2020-10-23 03:53:12
139,Yumen,40.28,97.2,52.29,35,90,9.69,overcast clouds,CN,2020-10-23 03:56:47
140,Kabinda,-6.13,24.48,69.37,95,100,4.12,overcast clouds,CD,2020-10-23 03:56:48
141,Buala,-8.14,159.59,84.34,70,67,6.26,light rain,SB,2020-10-23 03:56:48
142,Hasaki,35.73,140.83,66.2,100,75,6.93,broken clouds,JP,2020-10-23 03:56:48
143,Khatanga,71.97,102.5,3.81,93,100,8.52,overcast clouds,RU,2020-10-23 03:56:48
144,Isangel,-19.55,169.27,77.0,88,90,6.93,thunderstorm with rain,VU,2020-10-23 03:56:48
145,Kaitangata,-46.28,169.85,61.57,59,99,6.13,moderate rain,NZ,2020-10-23 03:56:49
146,Kichera,55.94,110.1,39.16,72,3,1.05,clear sky,RU,2020-10-23 03:56:49
147,Terney,45.05,136.61,43.14,77,100,17.56,light rain,RU,2020-10-23 03:56:49
148,Necochea,-38.55,-58.74,48.99,92,71,5.01,broken clouds,AR,2020-10-23 03:56:49
149,Lompoc,34.64,-120.46,57.2,87,40,4.18,scattered clouds,US,2020-10-23 03:56:49
150,Taoudenni,22.68,-3.98,81.16,16,0,7.0,clear sky,ML,2020-10-23 03:56:50
151,Hermanus,-34.42,19.23,63.0,85,63,2.44,broken clouds,ZA,2020-10-23 03:51:17
152,Rabo De Peixe,37.8,-25.58,60.8,67,75,5.82,broken clouds,PT,2020-10-23 03:56:50
153,Mahebourg,-20.41,57.7,73.4,73,40,12.75,scattered clouds,MU,2020-10-23 03:56:50
154,Cockburn Town,21.46,-71.14,81.99,78,0,17.76,clear sky,TC,2020-10-23 03:56:51
