City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
516,San Juan,AR,69.44,clear sky,-31.54,-68.54,Hotel Provincial
521,Hostotipaquillo,MX,68.0,broken clouds,21.07,-104.07,Hostal DE MINGO
524,Kananga,CD,69.71,overcast clouds,-5.9,22.42,Guest House Wood Land
530,Nantucket,US,55.99,fog,41.28,-70.1,Jared Coffin House
531,Teofilo Otoni,BR,68.86,light rain,-17.86,-41.51,Hotel Nobre Palace
536,Rawah,IQ,67.66,clear sky,34.48,41.91,المملكة الراوية الهاشمية
537,Coquimbo,CL,53.6,clear sky,-29.95,-71.34,Hotel San Juan
540,Jiaonan,CN,62.01,few clouds,35.88,119.98,Vienna Hotel Qingdao Huangdao
541,Burnie,AU,52.23,overcast clouds,-41.07,145.92,Beachfront Voyager Motor Inn
545,Ochamchira,GE,56.08,clear sky,42.71,41.47,Resort on Papaskiri 76
550,Maneadero,MX,63.0,few clouds,31.72,-116.57,Casa De Thompson
553,Kruisfontein,ZA,63.97,overcast clouds,-34.0,24.73,Oyster Bay House Rental
560,Mwingi,KE,65.95,clear sky,-0.93,38.06,Thorn Tree by The Address
562,Westport,US,66.2,overcast clouds,41.14,-73.36,The Westport Inn
568,Gafanha Da Encarnacao,PT,55.0,few clouds,40.62,-8.73,Hotel Barra
569,Mogok,MM,66.61,light rain,22.92,96.5,MOGOK HILL HOTEL
570,Dalian,CN,51.8,scattered clouds,38.91,121.6,Kempinski Hotel Dalian
571,Beysehir,TR,52.38,scattered clouds,37.68,31.72,Anatolia Boutique Hotel Penta
574,General Pico,AR,58.5,broken clouds,-35.66,-63.76,Hotel Malargue
575,Viedma,AR,55.99,clear sky,-40.81,-63.0,Hotel Cristal
578,Brovary,UA,55.0,clear sky,50.5,30.77,Grand Sport Hotel
579,Praia Da Vitoria,PT,59.0,scattered clouds,38.73,-27.07,Hotel Branco I
583,Sarkikaraagac,TR,52.29,scattered clouds,38.08,31.37,Sarkikaraagac Ogretmenevi
587,Laurel,US,66.0,clear sky,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
594,Maldonado,UY,60.01,mist,-34.67,-54.92,La Cimarrona
596,Dunedin,NZ,55.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
603,Farkhor,TJ,55.4,broken clouds,37.49,69.4,Khonai Abdulkhayrov
605,Solano,US,64.0,clear sky,38.23,-121.95,Travis AFB FamCamp
608,Niort,FR,59.0,overcast clouds,46.33,-0.33,Hôtel Première Classe Niort La Crèche
612,Kamaishi,JP,60.8,light intensity shower rain,39.27,141.88,Hotel Route Inn Kamaishi
614,Dillon,US,70.0,clear sky,34.42,-79.37,Dillon Express Inn
616,Eregli,TR,51.67,clear sky,37.51,34.05,Hotel Fuat Bey
618,Gemena,CD,68.86,overcast clouds,3.25,19.77,Hôtel Goshen
621,Baghdad,IQ,62.6,clear sky,33.34,44.4,Baghdad Hotel
622,Jiaozhou,CN,62.01,few clouds,36.28,120.0,Sheraton Qingdao Jiaozhou Hotel
623,Komsomolskiy,UZ,53.6,light rain,40.43,71.72,Ikathouse
625,Hendaye,FR,60.8,clear sky,43.37,-1.77,Parador de Hondarribia
627,General Roca,AR,62.6,clear sky,-39.03,-67.58,Hotel El Recreo
632,Saldanha,ZA,59.0,scattered clouds,-33.01,17.94,Blue Bay Lodge
633,Najran,SA,60.8,clear sky,17.49,44.13,محمد هادي ال فطيح
636,Pacific Grove,US,60.01,overcast clouds,36.62,-121.92,Lovers Point Inn
640,Somerset West,ZA,60.01,broken clouds,-34.08,18.82,Lourens River Guesthouse BnB
646,Los Andes,CL,62.01,scattered clouds,-32.83,-70.6,Hotel Los Andes
648,Wanaka,NZ,62.82,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
649,Menongue,AO,61.7,clear sky,-14.66,17.69,Ritz Lauca
653,Albury,AU,70.0,moderate rain,-36.08,146.92,Albury Georgian Motel & Suites
654,Ponta Delgada,PT,60.8,broken clouds,37.73,-25.67,Vila Nova Hotel
655,Penzance,GB,51.01,scattered clouds,50.12,-5.54,Artist Residence Penzance
657,Ocampo,MX,56.95,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
658,Shimoda,JP,68.0,mist,34.67,138.95,Shimoda Tokyu Hotel
659,Santa Lucia,ES,68.0,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
662,Valparaiso,CL,51.8,overcast clouds,-33.04,-71.63,Hotel Ultramar
663,Sainte-Maxime,FR,64.0,overcast clouds,43.3,6.63,Hôtel Les Jardins De Sainte Maxime
664,Petropavlovsk-Kamchatskiy,RU,51.8,scattered clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
670,Pingdingshan,CN,64.54,clear sky,33.74,113.3,Chengfu Hotel
671,Nkowakowa,ZA,60.8,clear sky,-23.89,30.29,Moytel 966A Guest House & Spa
673,Zhob,PK,63.84,clear sky,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
675,San Quintin,MX,64.33,overcast clouds,30.48,-115.95,Old Mill Hotel
